date,species,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,day,day_of_week,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,Tavg_lag_7,PrecipTotal_lag_7,Tavg_lag_10,PrecipTotal_lag_10,Tavg_lag_14,PrecipTotal_lag_14
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,4,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000002,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,2,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,May,29,Tue,88.0,62.5,75.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,61.0,0.0,70.0,0.0,68.0,0.0
